9651/3-C77.8,96513,C778
9421/3-C71.3,94213,C713
8071/3-C67.0,80713,C670
9180/3-C41.4,91803,C414
9680/3-C77.3,96803,C773
8720/3-C67.1,87203,C671
8490/3-C18.8,84903,C188
9702/3-C77.4,97023,C774
9220/3-C41.3,92203,C413
9591/3-C77.4,95913,C774
8508/2-C50.2,85082,C502
9391/3-C71.2,93913,C712
8240/3-C16.8,82403,C168
9540/3-C47.8,95403,C478
9460/3-C71.8,94603,C718
8144/3-C16.8,81443,C168
9680/3-C40.0,96803,C400
8936/3-C76.2,89363,C762
9680/3-C26.8,96803,C268
8070/3-C50.8,80703,C508
8140/2-C16.2,81402,C162
8920/3-C49.1,89203,C491
9381/3-C71.7,93813,C717
9671/3-C77.8,96713,C778
8341/3-C19.9,83413,C199
8858/3-C48.1,88583,C481
9220/3-C40.2,92203,C402
8858/3-C52.9,88583,C529
9751/3-C40.0,97513,C400
8802/3-C49.1,88023,C491
8010/3-C67.8,80103,C678
8570/3-C15.5,85703,C155
8806/3-C08.0,88063,C080
8890/3-C18.9,88903,C189
8452/3-C25.1,84523,C251
9708/3-C44.7,97083,C447
8830/3-C49.5,88303,C495
9084/0-C72.9,90840,C729
8430/3-C34.0,84303,C340
8800/3-C80.9,88003,C809
8261/3-C16.0,82613,C160
9971/3-C80.9,99713,C809
8815/0-C72.0,88150,C720
9709/3-C44.6,97093,C446
8140/2-C21.1,81402,C211
8510/3-C50.5,85103,C505
8490/3-C67.1,84903,C671
8070/3-C15.2,80703,C152
9751/3-C41.3,97513,C413
8771/3-C44.3,87713,C443
8383/3-C56.9,83833,C569
9673/3-C17.8,96733,C178
8401/2-C50.5,84012,C505
9691/3-C48.1,96913,C481
8120/3-C67.8,81203,C678
8801/3-C49.9,88013,C499
9182/3-C49.2,91823,C492
9687/3-C77.0,96873,C770
8033/3-C50.3,80333,C503
8855/3-C49.1,88553,C491
9650/3-C77.3,96503,C773
8070/3-C24.1,80703,C241
9231/3-C71.8,92313,C718
9492/0-C71.3,94920,C713
9691/3-C17.2,96913,C172
8046/3-C25.2,80463,C252
8210/3-C21.8,82103,C218
9708/3-C44.8,97083,C448
9690/3-C31.1,96903,C311
8010/2-C24.8,80102,C248
8801/3-C38.0,88013,C380
9751/3-C44.3,97513,C443
9530/1-C70.0,95301,C700
8950/3-C54.0,89503,C540
8004/3-C49.2,80043,C492
8815/3-C71.9,88153,C719
9670/3-C77.8,96703,C778
8982/3-C49.2,89823,C492
9560/0-C70.9,95600,C709
9665/3-C77.8,96653,C778
8543/2-C50.1,85432,C501
9490/3-C38.2,94903,C382
8560/3-C22.0,85603,C220
8323/3-C54.2,83233,C542
9596/3-C11.9,95963,C119
9231/3-C41.0,92313,C410
8020/3-C76.0,80203,C760
8245/3-C24.1,82453,C241
9260/3-C49.4,92603,C494
9041/3-C15.1,90413,C151
8504/3-C50.8,85043,C508
8723/3-C44.7,87233,C447
8070/2-C63.2,80702,C632
8211/2-C18.2,82112,C182
8010/3-C18.8,80103,C188
8850/3-C49.4,88503,C494
9581/3-C49.1,95813,C491
8523/2-C50.1,85232,C501
9120/0-C71.0,91200,C710
9080/0-C75.3,90800,C753
8246/3-C55.9,82463,C559
8401/3-C50.3,84013,C503
8480/3-C50.8,84803,C508
8074/3-C15.4,80743,C154
8523/3-C25.9,85233,C259
9591/3-C80.9,95913,C809
8082/3-C22.0,80823,C220
9260/3-C40.2,92603,C402
9420/3-C71.8,94203,C718
9971/3-C77.8,99713,C778
8071/3-C16.8,80713,C168
8801/3-C40.2,88013,C402
9719/3-C62.9,97193,C629
8720/3-C03.0,87203,C030
8900/3-C61.9,89003,C619
9540/3-C31.1,95403,C311
8247/3-C44.6,82473,C446
8811/3-C49.1,88113,C491
8084/3-C34.8,80843,C348
8000/3-C49.0,80003,C490
9971/3-C49.4,99713,C494
8521/3-C25.1,85213,C251
8801/3-C49.2,88013,C492
8140/1-C75.1,81401,C751
8210/2-C16.2,82102,C162
8201/3-C50.8,82013,C508
8804/3-C49.5,88043,C495
8310/3-C80.9,83103,C809
8805/3-C54.1,88053,C541
8521/3-C25.7,85213,C257
8230/3-C50.8,82303,C508
8031/3-C25.9,80313,C259
9500/3-C71.8,95003,C718
8680/3-C75.5,86803,C755
8560/3-C25.9,85603,C259
8936/3-C49.8,89363,C498
8401/2-C50.3,84012,C503
8180/3-C22.1,81803,C221
8244/3-C18.4,82443,C184
9150/0-C70.0,91500,C700
9971/3-C77.2,99713,C772
8071/3-C21.8,80713,C218
8430/3-C30.0,84303,C300
8052/2-C68.0,80522,C680
8900/3-C34.9,89003,C349
9680/3-C49.9,96803,C499
9690/3-C77.3,96903,C773
9080/3-C49.3,90803,C493
8470/3-C34.3,84703,C343
8145/3-C16.8,81453,C168
8244/3-C34.2,82443,C342
9699/3-C34.0,96993,C340
8441/3-C54.2,84413,C542
8074/3-C65.9,80743,C659
8507/3-C19.9,85073,C199
8020/3-C80.9,80203,C809
8802/3-C49.5,88023,C495
8200/3-C50.8,82003,C508
8323/3-C34.3,83233,C343
8401/3-C50.8,84013,C508
8200/3-C34.0,82003,C340
8490/3-C15.8,84903,C158
9044/3-C49.1,90443,C491
8936/3-C80.9,89363,C809
9680/3-C41.9,96803,C419
